"number","created_by","created_at","state","closed_by","closed_at"
"1326","pombredanne","2016-08-08 17:13:32","closed","benoitc","2016-10-16 15:49:59"
"1325","JayH5","2016-08-08 14:38:51","open","",""
"1324","nashuiliang","2016-08-05 05:36:12","open","",""
"1323","trivigy","2016-08-05 02:22:43","closed","benoitc","2016-09-23 12:48:50"
"1322","pombredanne","2016-08-04 09:42:40","closed","benoitc","2016-10-16 15:50:20"
"1321","mindojo-victor","2016-08-04 05:08:49","open","",""
"1320","MarSoft","2016-08-03 23:46:26","closed","MarSoft","2016-08-06 20:30:49"
"1319","glarrain","2016-08-02 17:13:34","open","",""
"1318","fusionbeam","2016-08-02 10:28:23","open","",""
"1317","shturman","2016-08-01 12:51:36","open","",""
"1316","jjb","2016-07-30 14:38:54","closed","tilgovi","2016-07-31 04:59:30"
"1315","ocervell","2016-07-29 18:36:16","closed","ocervell","2016-07-29 19:44:27"
"1314","suriya","2016-07-28 07:25:12","closed","benoitc","2016-07-28 10:20:38"
"1313","tobgu","2016-07-27 20:53:19","closed","berkerpeksag","2016-09-17 09:49:05"
"1312","jjb","2016-07-27 15:15:20","closed","jjb","2016-07-31 17:36:04"
"1311","saurabhsri2015","2016-07-22 14:51:40","closed","saurabhsri2015","2016-07-27 08:29:55"
"1310","tilgovi","2016-07-19 16:31:25","closed","tilgovi","2016-12-27 22:01:21"
"1309","benoitc","2016-07-17 19:00:45","closed","tilgovi","2016-12-27 22:01:51"
"1308","chripede","2016-07-14 08:20:57","closed","chripede","2016-07-24 11:14:34"
"1307","miedzinski","2016-07-13 20:08:05","closed","miedzinski","2016-07-17 15:32:26"
"1306","tobgu","2016-07-08 16:39:35","closed","berkerpeksag","2016-09-17 09:49:07"
"1305","fillest","2016-07-07 14:23:45","open","",""
"1304","moriyoshi","2016-07-07 10:23:23","closed","tilgovi","2016-07-16 19:15:23"
"1303","michaelcoconnor","2016-07-05 00:40:25","open","",""
"1302","kwatog","2016-06-29 15:31:40","open","tilgovi",""
"1301","hachreak","2016-06-29 12:50:57","open","",""
"1300","anthonylau","2016-06-26 12:49:33","open","",""
"1299","BernhardPosselt","2016-06-25 13:07:29","open","",""
"1298","diwu1989","2016-06-24 21:40:44","closed","tilgovi","2016-12-27 22:01:21"
"1297","gfreezy","2016-06-23 13:35:49","closed","tilgovi","2016-06-26 21:46:26"
"1296","myhro","2016-06-19 01:27:44","open","",""
"1295","galindale","2016-06-07 09:47:22","closed","benoitc","2016-10-16 16:18:24"
"1294","edmorley","2016-06-06 16:08:21","open","",""
"1293","suriya","2016-06-06 04:09:34","closed","benoitc","2016-07-27 07:31:21"
"1292","zhouyongbo","2016-06-06 02:38:03","closed","benoitc","2016-10-16 16:41:04"
"1291","vivianho","2016-06-02 18:11:50","closed","benoitc","2016-06-04 00:18:11"
"1290","benoitc","2016-05-31 16:26:55","closed","benoitc","2016-06-03 08:20:49"
"1289","rajats105","2016-05-31 12:42:37","closed","tilgovi","2016-06-01 19:37:27"
"1288","berkerpeksag","2016-05-30 19:19:34","open","",""
"1287","aeris","2016-05-30 12:06:34","closed","benoitc","2016-06-03 08:20:49"
"1286","adamchainz","2016-05-29 18:35:46","closed","berkerpeksag","2016-05-29 18:46:37"
"1285","v-hunt","2016-05-28 02:08:52","closed","berkerpeksag","2016-05-28 12:05:15"
"1284","jasonab","2016-05-26 01:25:19","open","",""
"1283","vishesh92","2016-05-24 22:10:28","open","",""
"1282","Lothiraldan","2016-05-24 17:47:42","closed","berkerpeksag","2016-05-25 16:14:49"
"1281","edgarcosta","2016-05-24 13:14:48","closed","tilgovi","2016-05-26 22:29:51"
"1280","edgarcosta","2016-05-23 19:40:26","closed","edgarcosta","2016-05-24 02:14:36"
"1279","edmorley","2016-05-23 17:46:59","closed","benoitc","2016-05-23 18:28:41"
"1278","benoitc","2016-05-21 09:48:15","open","",""
"1277","benoitc","2016-05-20 22:15:47","closed","benoitc","2016-05-21 08:53:20"
"1276","benoitc","2016-05-20 21:10:57","closed","benoitc","2016-05-21 08:51:41"
"1275","mistercrunch","2016-05-20 17:18:05","closed","mistercrunch","2016-05-20 17:55:03"
"1274","benoitc","2016-05-20 13:55:59","closed","benoitc","2016-05-20 13:56:22"
"1273","urbaniak","2016-05-19 10:29:38","closed","benoitc","2016-05-20 22:11:11"
