"number","created_by","created_at","state","closed_by","closed_at"
"1905","atodorov","2016-02-03 20:55:51","closed","atodorov","2016-02-04 08:37:24"
"1904","abackstrom","2016-02-02 18:52:37","open","",""
"1903","geohuz","2016-01-28 12:23:00","closed","geohuz","2016-01-28 17:41:47"
"1902","atodorov","2016-01-25 23:00:18","open","",""
"1901","nckx","2016-01-24 19:15:16","closed","justinmayer","2016-02-08 22:28:43"
"1900","baram204","2016-01-24 15:18:09","closed","baram204","2016-01-24 15:50:14"
"1899","W7PEA","2016-01-20 22:54:07","closed","justinmayer","2016-12-16 20:52:32"
"1898","W7PEA","2016-01-19 19:41:16","closed","W7PEA","2016-01-26 07:15:56"
"1897","W7PEA","2016-01-19 19:34:05","closed","W7PEA","2016-01-19 19:40:01"
"1896","W7PEA","2016-01-19 05:01:16","closed","W7PEA","2016-01-19 19:33:11"
"1895","W7PEA","2016-01-19 04:19:07","closed","W7PEA","2016-01-19 04:38:38"
"1894","W7PEA","2016-01-19 03:11:28","closed","W7PEA","2016-01-19 04:04:22"
"1893","kernc","2016-01-18 00:15:58","closed","justinmayer","2016-02-19 19:32:19"
"1892","raymestalez","2016-01-15 21:46:11","closed","justinmayer","2016-03-29 18:23:09"
"1891","ingwinlu","2016-01-15 16:23:09","closed","justinmayer","2016-02-19 19:32:19"
"1890","urschrei","2016-01-15 15:08:17","closed","urschrei","2016-01-15 16:12:42"
"1889","andreas-h","2016-01-14 07:03:22","open","",""
"1888","Feuermurmel","2016-01-10 17:48:45","open","",""
"1887","AngelMunoz","2016-01-05 09:32:13","closed","AngelMunoz","2016-01-05 09:39:56"
"1886","eevee","2016-01-04 01:09:19","closed","justinmayer","2016-10-22 22:43:56"
"1885","andreaso","2016-01-03 10:15:36","closed","justinmayer","2016-01-05 03:56:43"
"1884","felipe-alarcon","2015-12-31 17:15:53","closed","justinmayer","2015-12-31 18:09:19"
"1883","Natim","2015-12-29 10:19:14","closed","justinmayer","2015-12-29 17:35:01"
"1882","Natim","2015-12-29 09:51:05","closed","Natim","2015-12-29 09:57:16"
"1881","kdeldycke","2015-12-28 13:14:14","closed","justinmayer","2016-09-21 16:20:22"
"1880","allanman","2015-12-26 18:08:11","closed","justinmayer","2016-09-22 22:12:46"
"1879","kiddick","2015-12-18 20:56:14","closed","kiddick","2016-01-10 12:18:28"
"1878","anjiro","2015-12-10 19:27:53","closed","justinmayer","2016-03-29 18:29:41"
"1877","sprnza","2015-12-08 17:14:19","closed","sprnza","2015-12-09 06:11:08"
"1876","mandaris","2015-12-06 19:04:30","closed","justinmayer","2016-03-29 18:30:40"
"1875","habi","2015-12-01 16:48:57","closed","justinmayer","2016-12-13 18:47:18"
"1874","atodorov","2015-11-28 22:37:53","closed","atodorov","2015-11-30 10:53:00"
