"number","created_by","created_at","state","commits","merged_by","merged_at"
"1788","andreacorbellini","2015-07-29 09:43:10","closed","1","justinmayer","2015-08-15 15:21:28"
"1783","gnurenga","2015-07-21 07:29:04","closed","1","",""
"1779","KeWata","2015-07-12 05:21:44","closed","1","",""
"1778","ionelmc","2015-07-09 21:49:34","closed","1","justinmayer","2015-07-10 18:34:44"
"1776","guanidene","2015-06-30 15:30:05","closed","1","justinmayer","2015-07-04 14:56:43"
"1775","alexras","2015-06-28 07:23:20","closed","1","",""
"1774","alexras","2015-06-28 07:19:30","closed","1","",""
"1770","ehashman","2015-06-21 03:19:34","closed","2","justinmayer","2015-06-22 17:07:10"
"1769","sanfx","2015-06-20 15:22:10","closed","2","",""
"1768","jo-tham","2015-06-19 18:51:09","closed","1","justinmayer","2015-07-11 17:42:45"
"1767","ingwinlu","2015-06-19 17:34:10","closed","1","justinmayer","2015-08-02 15:59:08"
"1766","ingwinlu","2015-06-19 17:33:15","closed","1","justinmayer","2015-06-23 16:35:45"
"1764","ingwinlu","2015-06-19 09:38:51","closed","1","justinmayer","2015-06-28 20:29:23"
"1760","jml","2015-06-16 21:35:23","closed","1","justinmayer","2015-06-27 15:58:37"
"1756","avaris","2015-06-12 21:22:41","closed","1","justinmayer","2015-06-13 19:55:28"
"1755","ingwinlu","2015-06-11 17:53:19","closed","1","justinmayer","2015-06-12 18:31:06"
"1753","ingwinlu","2015-06-09 19:59:21","closed","2","justinmayer","2015-08-25 02:27:25"
"1747","ingwinlu","2015-06-06 13:36:22","closed","2","justinmayer","2015-06-09 15:42:51"
"1746","abrahamvarricatt","2015-06-05 17:00:04","closed","1","justinmayer","2015-06-07 18:00:20"
"1745","ingwinlu","2015-06-04 08:48:50","closed","2","",""
"1743","avaris","2015-06-03 21:12:20","closed","1","justinmayer","2015-06-08 13:50:08"
"1741","abrahamvarricatt","2015-06-03 17:14:43","closed","1","",""
"1740","ingwinlu","2015-06-03 07:05:08","closed","1","justinmayer","2015-06-11 14:27:41"
"1737","ingwinlu","2015-06-01 18:42:27","closed","1","",""
"1728","jonathan-s","2015-05-24 16:00:09","closed","1","justinmayer","2015-05-27 15:13:21"
"1727","alexwlchan","2015-05-24 12:08:53","closed","2","justinmayer","2015-05-25 06:53:45"
"1726","StevenMaude","2015-05-24 10:35:00","closed","0","justinmayer","2015-06-04 22:27:22"
"1724","fernandezcuesta","2015-05-20 08:46:18","closed","0","",""
"1723","ionelmc","2015-05-17 13:35:32","closed","1","",""
"1720","ingwinlu","2015-05-13 20:03:16","closed","1","justinmayer","2015-05-13 21:15:04"
"1719","ingwinlu","2015-05-13 17:56:58","closed","1","",""
"1718","ionelmc","2015-05-11 23:55:50","closed","1","justinmayer","2015-05-12 07:51:40"
"1716","foresto","2015-05-10 04:22:01","closed","1","justinmayer","2015-05-10 14:35:49"
"1715","foresto","2015-05-08 20:43:52","closed","1","justinmayer","2015-05-09 21:42:09"
"1708","iksteen","2015-04-29 13:16:51","closed","1","justinmayer","2015-04-29 14:01:38"
"1705","gldnspud","2015-04-23 18:37:46","closed","1","justinmayer","2015-05-01 21:59:27"
"1703","ingwinlu","2015-04-20 10:29:07","closed","2","justinmayer","2015-05-13 21:19:24"
"1701","avaris","2015-04-16 23:43:44","closed","1","justinmayer","2015-04-29 13:58:50"
"1700","avaris","2015-04-16 23:07:14","closed","1","justinmayer","2015-04-29 14:06:19"
"1698","avaris","2015-04-14 19:27:46","closed","1","justinmayer","2015-04-15 08:07:33"
"1696","dmd","2015-04-13 15:13:14","closed","0","justinmayer","2015-04-18 08:12:46"
"1693","zackw","2015-04-11 21:44:46","closed","3","justinmayer","2015-06-10 18:54:29"
"1691","ingwinlu","2015-04-11 20:48:11","closed","1","justinmayer","2015-04-28 05:08:01"
"1690","ingwinlu","2015-04-11 13:32:02","closed","1","justinmayer","2015-05-13 16:37:19"
"1687","ingwinlu","2015-04-10 07:04:47","closed","1","justinmayer","2015-04-11 08:28:55"
"1684","alb-i986","2015-04-08 01:37:21","open","2","",""
"1683","alb-i986","2015-04-08 01:36:55","closed","1","justinmayer","2015-04-30 21:51:08"
"1681","ingwinlu","2015-04-06 12:34:47","closed","1","justinmayer","2015-04-17 12:40:31"
"1680","ingwinlu","2015-04-06 07:55:38","closed","1","justinmayer","2015-04-09 01:01:56"
"1679","avaris","2015-04-03 23:18:19","closed","2","justinmayer","2015-04-05 01:32:05"
"1677","skettlitz","2015-04-02 10:23:31","closed","1","",""
"1670","jo-tham","2015-03-24 02:56:53","closed","4","",""
"1669","zackw","2015-03-22 01:57:40","closed","1","justinmayer","2015-06-06 16:17:52"
"1664","syndbg","2015-03-16 23:23:48","closed","1","justinmayer","2015-03-23 17:31:03"
"1663","avaris","2015-03-14 17:44:02","closed","1","justinmayer","2015-03-15 16:44:55"
"1662","iKevinY","2015-03-14 06:04:27","closed","1","justinmayer","2015-03-14 16:19:20"
"1661","robertlagrant","2015-03-13 11:55:52","closed","1","smartass101","2015-03-13 14:23:07"
"1659","giovtorres","2015-03-09 18:30:07","closed","0","",""
"1658","iKevinY","2015-03-07 09:01:13","closed","1","justinmayer","2015-03-10 14:04:31"
"1657","mitchtbaum","2015-03-07 04:42:07","open","1","",""
"1653","avaris","2015-03-06 21:54:11","closed","1","justinmayer","2015-03-11 18:56:32"
"1645","iKevinY","2015-03-01 00:16:39","closed","1","",""
"1643","bubenkoff","2015-02-28 12:12:02","closed","2","",""
"1642","iKevinY","2015-02-26 08:03:34","closed","1","justinmayer","2015-02-27 01:20:11"
"1638","kernc","2015-02-23 22:31:10","closed","1","justinmayer","2015-11-30 17:32:12"
"1637","pkirk","2015-02-23 19:14:20","closed","1","justinmayer","2015-02-24 15:45:05"
"1636","kernc","2015-02-23 03:52:58","closed","1","",""
"1635","SkyLothar","2015-02-22 08:30:42","closed","1","justinmayer","2015-03-22 02:13:16"
"1632","foresto","2015-02-19 20:28:32","closed","1","justinmayer","2015-02-27 13:33:58"
"1629","avaris","2015-02-18 01:51:41","closed","1","justinmayer","2015-02-18 02:03:57"
"1627","johnmastro","2015-02-13 00:30:18","closed","1","justinmayer","2015-02-13 15:31:48"
"1625","linickx","2015-02-12 20:48:21","open","1","",""
"1623","avaris","2015-02-11 03:22:20","closed","1","justinmayer","2015-02-11 03:31:58"
"1622","patrickfournier","2015-02-10 19:57:47","closed","1","justinmayer","2015-02-25 17:35:06"
"1621","iKevinY","2015-02-10 01:30:47","closed","1","justinmayer","2015-02-16 17:11:11"
"1618","ionelmc","2015-02-08 17:14:46","closed","9","",""
"1617","pxquim","2015-02-07 18:35:02","closed","1","",""
"1616","kernc","2015-02-07 15:14:10","closed","1","justinmayer","2015-02-11 18:48:51"
"1614","Carreau","2015-02-06 22:30:21","closed","1","justinmayer","2015-02-09 00:50:37"
"1608","abackstrom","2015-02-01 21:47:09","closed","1","justinmayer","2015-02-17 19:21:51"
"1607","arulrajnet","2015-02-01 08:39:01","closed","0","justinmayer","2015-02-07 14:55:48"
"1603","ltiao","2015-01-27 10:45:24","closed","1","justinmayer","2015-01-27 22:44:12"
"1602","ltiao","2015-01-27 10:42:50","closed","1","justinmayer","2015-03-31 23:05:40"
"1599","mothsART","2015-01-22 22:49:11","open","1","",""
"1598","magnunleno","2015-01-22 03:01:00","closed","1","",""
"1597","avaris","2015-01-21 23:24:16","closed","1","justinmayer","2015-01-27 01:48:45"
"1595","ghost","2015-01-18 14:16:26","closed","0","",""
"1593","iKevinY","2015-01-18 02:21:40","closed","2","justinmayer","2015-02-17 18:41:07"
"1592","ingwinlu","2015-01-17 16:53:04","closed","1","justinmayer","2015-02-17 18:49:57"
"1590","sunzhongwei","2015-01-15 01:49:35","closed","21","",""
"1589","shrayasr","2015-01-12 03:45:15","closed","1","justinmayer","2015-01-12 04:00:59"
"1588","dhermes","2015-01-10 21:31:49","closed","1","justinmayer","2015-01-10 23:59:31"
"1586","shrayasr","2015-01-09 19:03:03","closed","3","",""
"1584","kommit","2015-01-06 17:46:10","closed","2","",""
"1583","ingwinlu","2015-01-05 11:39:11","closed","3","justinmayer","2015-01-08 17:36:26"
"1582","ingwinlu","2015-01-05 11:03:58","closed","1","justinmayer","2015-02-17 19:11:14"
"1581","georgevreilly","2015-01-05 03:20:55","closed","1","justinmayer","2015-02-18 01:06:19"
"1579","metakermit","2015-01-03 08:24:55","closed","1","",""
"1578","iKevinY","2015-01-02 09:23:08","closed","1","kylef","2015-01-26 21:48:54"
"1577","ehashman","2015-01-02 07:14:12","closed","1","smartass101","2015-01-02 08:41:57"
"1567","webglider","2014-12-24 11:57:21","closed","1","justinmayer","2014-12-28 23:10:52"
"1566","recursify","2014-12-23 21:16:45","closed","2","",""
"1561","iKevinY","2014-12-15 19:06:27","closed","1","justinmayer","2015-01-15 18:17:16"
"1560","FedericoCeratto","2014-12-15 17:55:57","open","1","",""
"1551","farseerfc","2014-12-01 09:11:52","closed","16","",""
"1550","georgevreilly","2014-11-28 23:45:06","closed","1","justinmayer","2014-12-06 16:25:19"
"1546","lathan","2014-11-25 15:40:55","closed","1","justinmayer","2014-11-25 15:56:42"
"1539","rndmh3ro","2014-11-18 13:37:47","closed","0","justinmayer","2014-12-06 16:26:50"
"1538","notetau","2014-11-18 12:11:42","open","1","",""
"1537","omasanori","2014-11-18 10:51:01","closed","1","justinmayer","2014-12-06 16:28:28"
"1533","kernc","2014-11-17 06:00:19","closed","1","justinmayer","2015-02-18 17:14:37"
"1530","Sethathi","2014-11-11 13:39:48","closed","1","justinmayer","2015-05-21 08:10:37"
"1527","OrangeTux","2014-11-10 09:16:31","closed","0","",""
"1525","tonyseek","2014-11-10 03:58:56","closed","1","justinmayer","2014-12-11 16:19:33"
"1521","iKevinY","2014-11-06 07:24:30","closed","2","justinmayer","2015-02-18 02:59:04"
"1518","iKevinY","2014-11-02 22:20:18","closed","1","justinmayer","2014-11-02 22:52:40"
"1516","foresto","2014-11-01 22:48:00","closed","1","justinmayer","2014-11-04 22:42:27"
"1515","foresto","2014-11-01 06:09:26","closed","1","justinmayer","2015-03-27 08:14:16"
"1511","olivierverdier","2014-10-20 13:30:15","closed","1","justinmayer","2014-10-22 23:00:39"
"1509","foresto","2014-10-18 21:26:06","closed","1","justinmayer","2014-11-01 21:34:33"
"1507","dairiki","2014-10-16 14:12:36","closed","2","justinmayer","2014-12-06 16:35:43"
"1503","ranqiangjun","2014-10-15 11:59:28","closed","1","",""
"1501","foresto","2014-10-13 05:16:58","closed","1","justinmayer","2014-11-02 20:09:24"
"1499","matrixise","2014-10-12 11:38:47","closed","1","justinmayer","2014-11-04 00:03:30"
"1495","mlissner","2014-10-09 19:25:47","closed","2","",""
"1491","foresto","2014-10-06 03:22:22","closed","1","justinmayer","2015-03-25 15:38:05"
"1489","bugnano","2014-10-03 12:22:41","closed","0","",""
"1487","foresto","2014-10-01 09:07:16","closed","1","kylef","2014-10-04 18:27:38"
"1486","foresto","2014-10-01 01:49:49","closed","2","",""
"1485","foresto","2014-09-30 06:28:59","closed","1","",""
"1484","ingwinlu","2014-09-29 21:40:36","closed","1","justinmayer","2014-10-10 18:15:33"
"1481","hrbonz","2014-09-27 16:47:13","closed","1","justinmayer","2015-03-24 16:57:32"
"1478","areyoutoo","2014-09-24 23:24:35","closed","2","kylef","2015-01-26 21:49:32"
"1477","ratulotron","2014-09-24 19:32:42","closed","2","",""
"1476","areyoutoo","2014-09-24 00:58:30","closed","2","",""
"1473","ingwinlu","2014-09-22 14:37:14","closed","1","justinmayer","2014-09-22 15:08:26"
"1472","tyleha","2014-09-20 01:51:40","closed","2","",""
"1471","roidelapluie","2014-09-19 08:13:18","closed","1","justinmayer","2015-05-06 11:13:48"
"1470","avaris","2014-09-19 00:11:09","closed","1","justinmayer","2014-09-19 02:07:00"
"1468","barrysteyn","2014-09-16 20:09:18","closed","1","",""
"1466","cgar","2014-09-16 00:29:44","closed","0","justinmayer","2014-11-02 20:20:30"
"1465","davidlesieur","2014-09-16 00:24:18","closed","2","",""
"1457","svenkreiss","2014-09-06 02:36:17","closed","1","justinmayer","2014-11-02 22:55:04"
"1455","aravindavk","2014-09-05 07:11:40","open","2","",""
"1454","CNBorn","2014-09-03 00:26:39","closed","1","",""
"1453","arty-name","2014-08-31 08:04:52","closed","1","justinmayer","2015-05-30 16:29:53"
"1447","denydias","2014-08-27 11:36:26","closed","1","",""
"1446","avaris","2014-08-22 22:20:24","closed","1","justinmayer","2014-08-28 18:17:28"
"1445","avaris","2014-08-22 21:57:49","closed","1","justinmayer","2014-08-22 22:15:38"
"1444","pquentin","2014-08-20 15:16:46","closed","1","justinmayer","2015-01-25 19:08:08"
"1443","stefanoborini","2014-08-19 17:25:19","closed","0","",""
"1441","eliben","2014-08-19 13:38:16","open","5","",""
"1438","mlissner","2014-08-17 04:07:32","closed","1","justinmayer","2014-08-23 20:05:20"
"1437","mlissner","2014-08-17 03:20:12","closed","1","kylef","2014-11-04 23:05:48"
"1426","barrysteyn","2014-08-01 01:05:50","closed","1","justinmayer","2014-09-18 23:17:46"
"1423","randomllama","2014-07-29 14:26:27","closed","0","",""
"1418","willingc","2014-07-27 14:36:17","closed","1","kylef","2014-08-02 23:53:07"
"1415","RR2DO2","2014-07-25 18:24:45","closed","1","smartass101","2014-07-26 07:15:14"
"1413","gw0","2014-07-24 09:35:07","closed","2","",""
"1412","avaris","2014-07-22 16:52:54","closed","1","justinmayer","2014-08-13 21:17:09"
"1411","barrysteyn","2014-07-22 16:13:06","closed","1","justinmayer","2014-08-17 13:18:19"
"1408","arty-name","2014-07-20 09:00:25","closed","1","justinmayer","2014-08-28 18:19:58"
"1401","arty-name","2014-07-13 15:54:10","open","2","",""
"1399","Scheirle","2014-07-12 08:20:24","closed","2","justinmayer","2014-11-04 15:29:42"
"1392","arty-name","2014-07-06 21:20:34","closed","1","justinmayer","2014-07-06 22:03:44"
"1390","jml","2014-07-05 19:04:04","closed","2","",""
"1387","eliben","2014-06-30 13:40:33","closed","1","justinmayer","2014-07-02 19:22:15"
"1386","twm","2014-06-30 03:13:10","closed","1","",""
"1384","jacoblyles","2014-06-28 23:30:41","open","1","",""
"1383","therealbill","2014-06-27 17:41:45","closed","1","",""
"1381","avaris","2014-06-26 17:56:54","closed","2","justinmayer","2014-06-26 22:43:19"
"1380","avaris","2014-06-26 05:25:49","closed","2","justinmayer","2014-06-27 12:49:03"
"1377","danielrichman","2014-06-15 13:33:14","open","1","",""
"1376","avaris","2014-06-14 06:30:59","closed","1","justinmayer","2014-06-24 23:02:08"
"1375","royemmerich","2014-06-13 21:22:50","closed","1","",""
"1374","singingwolfboy","2014-06-13 20:14:00","closed","1","justinmayer","2014-09-19 14:59:34"
"1372","Railslide","2014-06-12 20:00:23","closed","0","kylef","2014-07-08 11:46:00"
"1371","omasanori","2014-06-10 01:04:03","closed","1","justinmayer","2014-08-02 14:38:08"
"1370","omasanori","2014-06-09 23:36:21","closed","2","kylef","2014-06-23 15:52:07"
"1368","iKevinY","2014-06-08 07:38:40","closed","1","",""
"1367","Rogdham","2014-06-06 19:02:04","closed","1","",""
"1366","Scheirle","2014-06-05 13:13:12","closed","1","justinmayer","2014-09-18 23:15:21"
"1364","CNBorn","2014-06-02 03:34:23","closed","1","",""
"1363","SkyLothar","2014-05-30 13:33:46","open","2","",""
"1362","avaris","2014-05-27 16:36:15","closed","1","justinmayer","2014-06-07 22:40:09"
"1361","ingwinlu","2014-05-25 11:50:11","closed","1","justinmayer","2014-11-02 22:32:41"
"1358","ingwinlu","2014-05-22 13:08:39","closed","1","justinmayer","2014-11-02 22:29:54"
"1354","storeyio","2014-05-19 22:04:33","closed","1","justinmayer","2016-11-18 16:22:56"
"1352","gw0","2014-05-18 21:26:27","closed","1","",""
"1351","gw0","2014-05-18 18:58:17","closed","1","",""
"1350","GLMeece","2014-05-14 18:54:02","closed","0","",""
"1349","GLMeece","2014-05-14 18:52:16","closed","0","",""
"1348","vjousse","2014-05-14 09:33:44","closed","7","justinmayer","2014-09-18 23:12:51"
"1345","justinmayer","2014-05-12 14:55:11","closed","3","justinmayer","2014-05-13 16:01:57"
"1342","smartass101","2014-05-10 04:05:11","closed","1","",""
