"number","created_by","created_at","state","closed_by","closed_at"
"1761","mrocklin","2016-11-04 20:24:19","closed","mrocklin","2016-11-06 12:15:14"
"1760","jcrist","2016-11-04 16:20:13","closed","jcrist","2016-11-04 18:21:28"
"1759","simonkamronn","2016-11-04 09:39:50","open","",""
"1758","jcrist","2016-11-03 22:49:47","closed","jcrist","2016-11-05 06:22:04"
"1757","mrocklin","2016-11-03 19:41:57","closed","mrocklin","2016-11-04 14:51:16"
"1756","laliberte","2016-11-03 19:29:46","closed","mrocklin","2016-11-06 12:17:02"
"1755","jcrist","2016-11-03 17:48:46","closed","mrocklin","2016-11-08 14:15:46"
"1754","gmocornejos","2016-11-03 17:32:18","open","",""
"1753","pitrou","2016-11-03 16:13:42","closed","mrocklin","2016-11-13 13:45:07"
"1752","mrocklin","2016-11-03 15:12:44","closed","mrocklin","2016-11-04 12:34:51"
"1751","laliberte","2016-11-03 11:52:36","closed","laliberte","2016-11-03 18:39:14"
"1750","martindurant","2016-11-02 19:44:02","closed","mrocklin","2016-11-16 16:26:04"
"1749","jreback","2016-11-02 19:38:32","open","",""
"1748","mrocklin","2016-11-02 18:02:07","open","",""
"1747","mrocklin","2016-11-02 14:50:06","closed","mrocklin","2016-11-02 19:00:37"
"1746","laliberte","2016-11-02 14:33:45","closed","laliberte","2016-11-03 11:11:05"
"1745","SharpLu","2016-11-02 13:37:57","closed","mrocklin","2016-11-02 19:04:35"
"1744","mrocklin","2016-11-01 21:13:47","open","",""
"1743","mrocklin","2016-11-01 19:28:20","closed","mrocklin","2016-11-02 12:46:45"
"1742","kaloramik","2016-11-01 19:18:59","closed","kaloramik","2016-11-02 01:52:35"
"1741","jorisvandenbossche","2016-11-01 18:32:11","closed","TomAugspurger","2016-11-01 20:58:32"
"1740","mrocklin","2016-11-01 16:39:34","closed","mrocklin","2016-11-01 18:46:55"
"1739","alimanfoo","2016-11-01 02:00:47","closed","alimanfoo","2016-11-01 10:51:45"
"1738","TomAugspurger","2016-10-31 21:47:38","closed","TomAugspurger","2016-11-01 12:42:18"
"1737","pitrou","2016-10-31 19:52:09","closed","pitrou","2016-12-08 15:34:14"
"1736","jcrist","2016-10-31 17:16:40","closed","jcrist","2016-10-31 18:24:18"
"1735","simonkamronn","2016-10-31 15:13:05","closed","TomAugspurger","2016-11-01 20:58:43"
