"number","created_by","created_at","state","commits","merged_by","merged_at"
"1371","ysimonson","2015-03-07 17:35:34","closed","1","bdarnell","2015-03-07 17:58:20"
"1366","ajdavis","2015-03-03 18:49:30","closed","1","bdarnell","2015-03-04 01:32:08"
"1364","sangsta","2015-03-02 10:22:26","open","3","",""
"1363","bdarnell","2015-03-01 19:30:44","closed","1","",""
"1358","qiulin","2015-03-01 01:28:43","closed","0","",""
"1356","ajdavis","2015-02-28 19:17:26","closed","1","bdarnell","2015-02-28 19:47:23"
"1355","ajdavis","2015-02-28 17:19:49","closed","1","bdarnell","2015-02-28 18:08:52"
"1354","ajdavis","2015-02-28 17:15:12","closed","1","bdarnell","2015-02-28 17:55:09"
"1353","ajdavis","2015-02-28 17:13:31","closed","3","bdarnell","2015-02-28 19:47:02"
"1352","ajdavis","2015-02-27 03:12:15","closed","1","bdarnell","2015-02-27 03:50:03"
"1349","st4lk","2015-02-24 10:52:19","closed","2","bdarnell","2015-02-25 00:39:53"
"1348","st4lk","2015-02-23 09:20:51","closed","1","bdarnell","2015-02-23 15:49:23"
"1347","shuklaabhi","2015-02-23 06:33:31","closed","62","",""
"1346","ajdavis","2015-02-23 06:21:59","closed","5","bdarnell","2015-02-26 03:16:52"
"1344","ajdavis","2015-02-20 03:06:26","closed","3","bdarnell","2015-02-20 04:08:25"
"1343","browning","2015-02-20 00:20:09","closed","1","bdarnell","2015-02-20 00:41:50"
"1341","ajdavis","2015-02-16 01:21:19","closed","7","bdarnell","2015-02-18 14:54:44"
"1340","jonashagstedt","2015-02-15 01:07:40","closed","1","bdarnell","2015-02-15 15:57:12"
"1338","ajdavis","2015-02-14 19:36:06","closed","1","bdarnell","2015-02-15 15:56:15"
"1336","grafuls","2015-02-12 17:19:58","closed","1","bdarnell","2015-02-12 22:05:48"
"1335","grafuls","2015-02-12 13:25:54","closed","3","bdarnell","2015-02-12 16:13:14"
"1333","carlsverre","2015-02-12 04:17:26","closed","1","bdarnell","2015-02-12 23:06:51"
"1331","ajdavis","2015-02-11 04:17:24","closed","16","",""
"1327","josephok","2015-02-06 02:30:11","closed","1","bdarnell","2015-02-07 18:19:37"
"1325","ccampbell","2015-02-03 21:08:56","closed","2","bdarnell","2015-02-07 18:18:08"
"1323","Paranaix","2015-02-03 18:47:04","open","4","",""
"1320","ajdavis","2015-01-30 20:10:40","closed","1","",""
"1319","hfaran","2015-01-30 10:47:42","closed","0","bdarnell","2015-01-30 17:15:17"
"1317","st4lk","2015-01-27 12:45:45","closed","3","bdarnell","2015-02-22 00:46:44"
"1314","huangwei1024","2015-01-27 03:03:51","closed","7","",""
"1313","bpmason1","2015-01-26 17:36:38","closed","0","",""
"1312","FreeAquar","2015-01-25 09:02:45","closed","1","bdarnell","2015-01-25 15:35:59"
"1311","drewmiller","2015-01-24 03:37:25","open","6","",""
"1310","drewmiller","2015-01-24 03:16:10","closed","3","",""
"1306","gaurav2493","2015-01-20 15:32:23","closed","1","",""
"1303","ami-GS","2015-01-18 09:07:08","closed","1","bdarnell","2015-01-18 16:34:26"
"1301","mclate","2015-01-10 18:21:10","closed","1","",""
"1300","arihantagarwal","2015-01-10 06:09:11","closed","1","bdarnell","2015-01-10 15:08:46"
"1299","ysimonson","2015-01-07 16:12:03","closed","2","bdarnell","2015-01-16 03:37:03"
"1296","asvetlov","2015-01-05 19:16:10","closed","1","bdarnell","2015-01-11 15:29:36"
"1294","lmas","2015-01-04 10:37:20","closed","0","bdarnell","2015-01-11 15:27:07"
"1293","mayflaver","2015-01-02 15:50:50","closed","1","",""
"1290","nosyjoe","2014-12-29 12:22:08","closed","1","bdarnell","2015-02-11 03:23:31"
"1289","zhang55090","2014-12-25 12:59:45","closed","4","",""
"1287","nordaux","2014-12-25 04:35:49","closed","1","",""
"1286","vovanec","2014-12-24 19:43:20","closed","2","bdarnell","2015-01-24 22:06:34"
