"number","created_by","created_at","state","closed_by","closed_at"
"1757","jkozlowicz","2016-06-27 18:35:43","closed","bdarnell","2016-07-15 01:19:36"
"1756","horejsek","2016-06-27 08:34:55","open","",""
"1755","whynotyes","2016-06-23 11:22:46","open","",""
"1754","BastinRobin","2016-06-18 09:11:20","closed","BastinRobin","2016-06-19 15:04:32"
"1753","jkozlowicz","2016-06-17 13:30:24","open","",""
"1752","eyj","2016-06-15 07:39:35","open","",""
"1751","allan-simon","2016-06-13 09:48:36","closed","bdarnell","2016-06-13 13:48:44"
"1750","bdarnell","2016-06-12 20:29:08","closed","bdarnell","2016-06-12 22:40:11"
"1749","andreasrosdal","2016-06-12 10:43:16","closed","bdarnell","2016-06-12 19:47:38"
"1748","thinkerou","2016-06-11 04:06:06","closed","bdarnell","2016-06-12 19:48:55"
"1747","zhulongcheng","2016-06-10 17:37:58","closed","zhulongcheng","2016-08-13 07:39:50"
"1746","santiwst","2016-06-08 16:55:20","closed","santiwst","2016-06-12 22:57:34"
"1745","santiwst","2016-06-08 16:51:30","closed","santiwst","2016-06-12 22:57:55"
"1744","zhulongcheng","2016-06-08 14:48:32","closed","bdarnell","2016-06-12 19:26:27"
"1743","nickcoutsos","2016-06-08 01:49:07","closed","bdarnell","2016-07-01 16:06:39"
"1742","santiwst","2016-06-07 17:08:36","closed","santiwst","2016-06-08 16:50:20"
"1741","hedcler","2016-06-06 04:50:26","closed","bdarnell","2016-06-12 18:21:23"
"1740","uriyanko","2016-06-04 05:24:30","closed","bdarnell","2016-06-12 18:11:34"
"1739","cachedout","2016-06-03 17:42:12","closed","bdarnell","2016-06-16 01:27:41"
"1738","afg984","2016-06-03 03:52:18","open","",""
"1737","sonicarg","2016-06-03 00:49:30","closed","sonicarg","2016-06-03 20:55:57"
"1736","nickcoutsos","2016-06-02 20:21:26","closed","nickcoutsos","2016-07-12 11:52:22"
"1735","gnprice","2016-05-30 22:44:55","open","",""
"1734","LocutusOfBorg","2016-05-30 20:52:58","closed","LocutusOfBorg","2016-08-05 06:19:13"
"1733","gnprice","2016-05-30 01:27:40","closed","bdarnell","2016-06-04 22:12:03"
"1732","gnprice","2016-05-30 00:51:44","closed","bdarnell","2016-06-04 22:11:50"
