"number","created_by","created_at","state","commits","merged_by","merged_at"
"1754","Tarrasch","2016-07-08 11:06:02","closed","1","Tarrasch","2016-07-14 04:41:55"
"1753","soymo","2016-07-08 09:17:46","closed","1","",""
"1751","dlstadther","2016-07-06 19:30:14","closed","1","dlstadther","2016-07-21 12:38:42"
"1749","sguermond","2016-07-06 03:08:27","closed","1","Tarrasch","2016-07-06 04:41:03"
"1747","sbourke","2016-07-02 11:50:53","open","1","",""
"1745","dlstadther","2016-07-01 12:43:06","closed","3","dlstadther","2016-07-18 14:32:42"
"1744","daveFNbuck","2016-07-01 01:05:44","closed","1","erikbern","2016-07-01 14:54:37"
"1743","marcpare","2016-07-01 00:08:21","closed","1","erikbern","2016-07-01 14:54:25"
"1742","gte620v","2016-06-30 19:56:50","closed","1","Tarrasch","2016-07-05 02:15:12"
"1737","riga","2016-06-28 12:38:01","closed","1","erikbern","2016-06-28 14:11:03"
"1735","dlstadther","2016-06-27 14:35:18","closed","3","erikbern","2016-06-28 14:12:01"
"1734","daveFNbuck","2016-06-25 00:25:36","closed","4","Tarrasch","2016-06-28 03:07:50"
"1733","dmyersturnbull","2016-06-24 01:13:57","open","4","",""
"1732","waltherg","2016-06-23 17:19:51","open","0","",""
"1731","Jyrsa","2016-06-23 08:13:22","open","4","",""
"1729","alfonsomhc","2016-06-22 11:11:55","closed","1","Tarrasch","2016-06-23 02:28:38"
"1724","dlstadther","2016-06-21 18:18:12","closed","1","dlstadther","2016-06-27 14:36:53"
"1723","skoushan","2016-06-19 10:02:00","closed","1","Tarrasch","2016-06-20 02:36:41"
"1722","nilgoyyou","2016-06-16 18:37:10","closed","2","Tarrasch","2016-06-20 02:38:13"
"1720","dsfcode","2016-06-11 16:35:47","closed","1","erikbern","2016-06-11 17:18:55"
"1719","nugend","2016-06-09 19:57:36","closed","1","Tarrasch","2016-07-08 02:28:38"
"1718","linsomniac","2016-06-09 18:53:02","closed","1","Tarrasch","2016-06-10 02:24:45"
"1717","Zacmatix","2016-06-09 15:24:43","open","5","",""
"1716","Tarrasch","2016-06-09 09:30:32","closed","1","Tarrasch","2016-06-10 02:04:11"
"1715","Tarrasch","2016-06-09 02:50:41","closed","1","Tarrasch","2016-06-10 02:05:13"
"1713","bmaggard","2016-06-07 15:02:23","closed","1","Tarrasch","2016-06-08 02:20:01"
"1711","tmu","2016-06-07 11:23:51","closed","1","erikbern","2016-06-07 15:36:22"
"1710","andreabedini","2016-06-07 06:33:32","closed","1","",""
"1709","hudswideworld","2016-06-06 19:24:54","closed","1","Tarrasch","2016-06-07 02:30:44"
"1708","nugend","2016-06-06 17:38:13","closed","2","Tarrasch","2016-06-08 02:26:56"
"1705","apetresc","2016-06-06 13:49:38","open","1","",""
"1704","keisuke-nakata","2016-06-04 11:17:19","closed","1","",""
"1703","devlounge","2016-06-02 20:35:47","closed","0","Tarrasch","2016-06-03 03:39:06"
"1702","fordb","2016-06-02 17:32:56","closed","3","dlstadther","2016-06-06 02:47:09"
"1701","Tarrasch","2016-06-01 07:37:37","closed","1","Tarrasch","2016-06-02 03:01:52"
"1700","daveFNbuck","2016-05-31 23:37:00","closed","2","Tarrasch","2016-06-01 04:22:33"
"1699","adamchainz","2016-05-29 14:22:11","closed","1","erikbern","2016-05-30 18:34:15"
"1698","casey-green","2016-05-26 18:44:33","closed","1","Tarrasch","2016-06-30 02:41:18"
"1696","daveFNbuck","2016-05-25 20:49:08","closed","1","erikbern","2016-05-26 02:34:43"
"1695","tjamet","2016-05-25 09:50:59","open","2","",""
"1694","kayibal","2016-05-22 14:47:14","open","17","",""
"1693","Tarrasch","2016-05-20 02:36:27","closed","1","",""
"1692","xrmx","2016-05-19 10:51:34","closed","1","Tarrasch","2016-05-20 02:05:54"
"1691","jimmywan","2016-05-18 20:28:43","closed","0","Tarrasch","2016-05-19 02:14:22"
"1690","bamdan","2016-05-17 14:34:50","closed","1","erikbern","2016-05-17 14:43:08"
"1689","jeffcjohnson","2016-05-16 15:19:34","closed","1","erikbern","2016-05-16 21:02:17"
"1686","dacort","2016-05-11 22:40:45","closed","9","Tarrasch","2016-05-19 02:27:19"
"1681","jkukul","2016-05-06 15:26:07","closed","2","Tarrasch","2016-05-09 02:15:41"
"1680","PeteW","2016-05-06 04:29:21","closed","1","Tarrasch","2016-06-10 02:31:04"
"1679","pkaleta","2016-05-06 02:40:55","closed","1","Tarrasch","2016-06-03 03:42:08"
"1677","tusharbhat","2016-05-04 19:19:06","closed","3","Tarrasch","2016-05-10 02:35:54"
"1676","maxcountryman","2016-05-04 14:53:25","closed","2","Tarrasch","2016-06-03 03:40:59"
"1675","nugend","2016-05-02 21:23:09","closed","6","Tarrasch","2016-06-09 02:41:32"
"1674","maxcountryman","2016-04-29 16:58:32","closed","1","Tarrasch","2016-05-04 02:10:11"
"1673","anneschuth","2016-04-29 12:23:49","closed","1","",""
"1672","gszjulcsi","2016-04-29 05:30:04","closed","1","erikbern","2016-05-02 13:22:17"
"1670","drj42","2016-04-28 03:38:10","open","0","",""
"1669","daveFNbuck","2016-04-27 20:14:57","open","1","",""
"1667","skylogic004","2016-04-21 23:19:22","closed","1","Tarrasch","2016-04-22 02:42:12"
"1666","PeteW","2016-04-21 20:56:46","open","1","",""
"1664","geowurster","2016-04-21 16:15:28","closed","3","Tarrasch","2016-05-11 03:28:27"
"1662","mbelmadani","2016-04-20 21:01:06","closed","2","Tarrasch","2016-06-17 09:24:10"
"1659","KyleJamesWalker","2016-04-19 22:44:51","closed","1","Tarrasch","2016-04-21 02:01:59"
"1656","e9t","2016-04-16 12:21:21","closed","0","erikbern","2016-04-16 20:48:53"
"1655","dlstadther","2016-04-14 15:02:58","closed","1","Tarrasch","2016-04-19 02:48:59"
"1653","dlstadther","2016-04-14 11:50:59","closed","1","Tarrasch","2016-04-15 02:00:31"
"1652","ulzha","2016-04-14 11:41:03","closed","10","",""
"1651","dlstadther","2016-04-14 02:46:27","closed","1","",""
"1650","traviscook21","2016-04-13 15:50:13","closed","3","Tarrasch","2016-04-21 02:01:49"
"1649","mfcabrera","2016-04-12 08:57:44","closed","2","erikbern","2016-04-12 12:33:58"
"1648","wires","2016-04-11 19:59:34","open","4","",""
"1646","stephenpascoe","2016-04-11 13:20:12","closed","1","erikbern","2016-04-11 14:16:39"
"1645","riga","2016-04-11 08:31:27","closed","1","Tarrasch","2016-04-11 09:25:30"
"1644","ej81","2016-04-10 11:58:50","closed","1","erikbern","2016-04-10 16:34:44"
"1643","ChrisBeaumont","2016-04-09 15:47:52","closed","1","Tarrasch","2016-04-11 01:52:18"
"1642","jstoxrocky","2016-04-08 19:27:39","closed","1","erikbern","2016-04-08 19:28:25"
"1641","spiside","2016-04-08 17:34:37","closed","1","Tarrasch","2016-04-11 01:50:54"
"1640","Tarrasch","2016-04-08 08:30:40","closed","1","Tarrasch","2016-04-11 01:49:03"
"1639","Tarrasch","2016-04-08 08:29:28","closed","1","erikbern","2016-04-08 11:32:54"
"1638","Tarrasch","2016-04-08 07:37:35","closed","1","erikbern","2016-04-08 11:33:12"
"1637","neilisaac","2016-04-07 14:33:42","closed","2","Tarrasch","2016-04-08 08:43:32"
"1636","Tarrasch","2016-04-07 10:49:21","closed","1","Tarrasch","2016-04-11 02:00:06"
"1635","riga","2016-04-07 08:37:37","closed","1","Tarrasch","2016-04-07 09:35:48"
"1634","neilisaac","2016-04-06 21:48:42","closed","1","",""
