"number","created_by","created_at","state","closed_by","closed_at"
"1872","fmorency","2016-10-04 15:53:39","open","",""
"1871","daveFNbuck","2016-10-01 01:44:21","closed","Tarrasch","2016-10-05 04:59:37"
"1870","jessicaaustin","2016-09-30 23:15:12","closed","Tarrasch","2016-10-04 02:39:52"
"1869","juanmcloaiza","2016-09-30 13:21:32","open","",""
"1868","daveFNbuck","2016-09-26 20:54:28","closed","Tarrasch","2016-09-27 02:31:44"
"1867","daveFNbuck","2016-09-26 17:51:26","closed","Tarrasch","2016-09-28 07:56:23"
"1866","oivoodoo","2016-09-26 09:09:26","open","",""
"1865","mxmrlv","2016-09-25 08:28:02","open","",""
"1864","yonromai","2016-09-23 20:20:34","open","",""
"1863","j-santander","2016-09-23 16:26:09","closed","Tarrasch","2016-09-26 12:38:56"
"1862","rossilxx","2016-09-21 08:54:15","open","",""
"1861","daveFNbuck","2016-09-20 21:40:39","closed","Tarrasch","2016-09-26 02:26:05"
"1860","daveFNbuck","2016-09-20 20:22:01","closed","Tarrasch","2016-09-22 02:25:36"
"1859","daveFNbuck","2016-09-20 20:09:12","closed","daveFNbuck","2016-09-22 00:04:46"
"1858","daveFNbuck","2016-09-20 19:46:42","closed","Tarrasch","2016-09-22 02:23:29"
"1857","rossilxx","2016-09-20 12:32:19","closed","rossilxx","2016-09-20 14:47:16"
"1856","rolfschr","2016-09-16 11:22:13","closed","Tarrasch","2016-09-19 01:47:28"
"1855","Tarrasch","2016-09-16 03:11:07","closed","Tarrasch","2016-09-19 01:46:41"
"1854","Tarrasch","2016-09-15 08:27:28","closed","Tarrasch","2016-09-16 03:03:52"
"1853","Tarrasch","2016-09-13 03:10:34","closed","Tarrasch","2016-09-15 08:24:56"
"1852","Gitzman","2016-09-09 19:08:55","open","",""
"1851","daveFNbuck","2016-09-08 23:48:05","closed","Tarrasch","2016-09-13 02:19:07"
"1850","daveFNbuck","2016-09-08 23:46:56","closed","Tarrasch","2016-09-12 03:00:35"
"1849","daveFNbuck","2016-09-08 23:00:02","closed","Tarrasch","2016-09-12 02:51:39"
"1848","daveFNbuck","2016-09-08 21:50:24","closed","Tarrasch","2016-09-12 02:36:41"
"1847","daveFNbuck","2016-09-08 21:38:04","closed","Tarrasch","2016-09-12 02:35:50"
"1846","daveFNbuck","2016-09-08 20:42:58","closed","Tarrasch","2016-09-12 02:34:19"
"1845","ifiddes","2016-09-08 19:45:04","open","",""
"1844","daveFNbuck","2016-09-08 19:36:52","closed","Tarrasch","2016-09-12 04:46:41"
"1843","Tarrasch","2016-09-07 02:30:40","closed","Tarrasch","2016-09-07 04:50:17"
"1842","Tarrasch","2016-09-06 09:41:27","closed","Tarrasch","2016-09-12 03:06:14"
"1841","Tarrasch","2016-09-06 08:07:05","closed","Tarrasch","2016-09-06 09:35:55"
"1840","Tarrasch","2016-09-01 09:17:45","closed","Tarrasch","2016-09-05 09:56:16"
"1839","Tarrasch","2016-09-01 07:30:34","closed","Tarrasch","2016-09-20 09:27:09"
"1838","Tarrasch","2016-09-01 03:57:49","closed","Tarrasch","2016-09-01 04:41:39"
"1837","anneschuth","2016-08-31 11:50:26","closed","erikbern","2016-08-31 15:00:27"
"1836","sceeter89","2016-08-31 09:09:58","closed","Tarrasch","2016-09-05 02:19:48"
"1835","miseyu","2016-08-30 13:32:57","open","",""
"1834","brianbruggeman","2016-08-30 12:32:42","open","",""
"1833","piotrpolatowski","2016-08-29 14:57:03","closed","Tarrasch","2016-09-05 02:17:30"
"1832","piotrpolatowski","2016-08-29 14:36:09","closed","piotrpolatowski","2016-08-29 14:36:16"
"1831","piotrpolatowski","2016-08-29 14:10:34","closed","piotrpolatowski","2016-11-28 09:17:34"
"1830","peterg-eb","2016-08-26 22:42:12","open","",""
"1829","daveFNbuck","2016-08-26 22:32:46","closed","daveFNbuck","2016-09-08 23:48:52"
"1828","daveFNbuck","2016-08-25 17:45:00","closed","Tarrasch","2016-08-26 02:17:54"
"1827","daveFNbuck","2016-08-25 17:43:11","closed","Tarrasch","2016-08-26 02:19:17"
"1826","darabos","2016-08-24 14:39:06","open","",""
"1825","daveFNbuck","2016-08-23 21:58:11","closed","Tarrasch","2016-08-24 07:05:19"
"1824","daveFNbuck","2016-08-23 05:59:04","closed","Tarrasch","2016-09-19 02:01:25"
"1823","Ashvio","2016-08-22 16:53:09","open","",""
"1822","ulzha","2016-08-22 13:27:53","open","",""
"1821","interskh","2016-08-20 08:17:39","closed","Tarrasch","2016-08-23 02:21:06"
"1820","peterg-eb","2016-08-18 18:05:00","open","",""
"1819","ivannotes","2016-08-17 07:23:57","closed","Tarrasch","2016-08-25 02:14:45"
"1818","daveFNbuck","2016-08-16 14:28:45","closed","Tarrasch","2016-08-17 02:08:51"
"1817","daveFNbuck","2016-08-16 14:22:50","closed","Tarrasch","2016-08-22 02:31:39"
"1816","impguard","2016-08-12 20:17:17","open","",""
"1815","petergaultney","2016-08-11 18:16:52","closed","erikbern","2016-08-11 19:47:31"
"1814","Tarrasch","2016-08-11 03:01:58","closed","Tarrasch","2016-08-22 02:50:37"
"1813","jeffcjohnson","2016-08-10 18:56:41","closed","erikbern","2016-08-10 19:52:34"
"1812","javrasya","2016-08-10 09:40:10","open","",""
"1811","javrasya","2016-08-09 15:27:05","closed","erikbern","2016-08-09 15:35:47"
"1810","luckyrandom","2016-08-09 00:37:21","open","",""
"1809","nugend","2016-08-08 22:42:19","closed","Tarrasch","2016-08-10 02:35:24"
"1808","nugend","2016-08-08 22:22:04","closed","Tarrasch","2016-08-10 02:35:24"
"1807","alexrovner","2016-08-05 20:04:24","open","",""
"1806","lebolo","2016-08-04 17:14:36","closed","Tarrasch","2016-08-08 02:31:43"
"1805","brcopeland","2016-08-04 04:37:28","closed","erikbern","2016-08-04 15:55:53"
"1804","brcopeland","2016-08-04 04:21:10","closed","erikbern","2016-08-04 15:56:07"
"1803","Tarrasch","2016-08-02 10:24:38","closed","Tarrasch","2016-08-04 03:22:32"
"1802","hevy-CC4477","2016-08-02 09:36:12","open","",""
"1801","brcopeland","2016-08-01 19:36:10","closed","erikbern","2016-08-02 02:14:39"
